model,rank,feature,importance
RandomForestClassifier,1,status_1,0.16230752124986061
RandomForestClassifier,2,status_2,0.12274358958196181
RandomForestClassifier,3,seconds_of_use,0.10229888961969898
RandomForestClassifier,4,customer_value,0.0997785568854552
RandomForestClassifier,5,complaints_1,0.0988056445046113
RandomForestClassifier,6,frequency_of_use,0.08388097790929962
RandomForestClassifier,7,complaints_0,0.0769546269206658
RandomForestClassifier,8,subscription_length,0.07148012853291424
RandomForestClassifier,9,distinct_called_numbers,0.05373001935806067
RandomForestClassifier,10,frequency_of_sms,0.05086335761902707
GradientBoostingClassifier,1,complaints_1,0.1797147161241408
GradientBoostingClassifier,2,complaints_0,0.17779510747471713
GradientBoostingClassifier,3,seconds_of_use,0.15264381633359606
GradientBoostingClassifier,4,status_2,0.11317503994427996
GradientBoostingClassifier,5,subscription_length,0.10420923317953228
GradientBoostingClassifier,6,frequency_of_use,0.07871771686234327
GradientBoostingClassifier,7,status_1,0.049752076611208396
GradientBoostingClassifier,8,call_failures,0.04007886600009686
GradientBoostingClassifier,9,distinct_called_numbers,0.0359387067019876
GradientBoostingClassifier,10,customer_value,0.03138611177030163
